Country,Morally acceptable,Morally unacceptable,Not a moral issue,Depends on the situation (Volunteered),DK/Refused,Total
United States,29,30,36,1,3,100
Canada,34,15,47,1,2,100
Britain,38,13,44,3,2,100
France,47,6,47,0,0,100
Germany,57,6,34,1,2,100
Italy,42,11,41,4,2,100
Spain,52,8,39,0,0,100
Greece,59,11,27,2,0,100
Poland,44,22,21,9,4,100
Czech Republic,67,10,18,2,3,100
Russia,40,30,10,15,4,100
Turkey,5,91,2,1,1,100
Egypt,2,90,6,1,0,100
Jordan,1,95,3,0,0,100
Lebanon,5,81,8,3,2,100
Palest. ter.,1,94,4,0,1,100
Tunisia,4,89,3,2,1,100
Israel,36,37,22,3,2,100
Australia,34,15,47,1,2,100
China,12,58,17,6,7,100
Indonesia,1,97,1,1,0,100
Japan,47,21,26,2,4,100
Malaysia,3,87,5,3,1,100
Pakistan,0,94,2,0,3,100
Philippines,20,71,7,1,0,100
South Korea,27,35,29,6,2,100
Argentina,45,22,27,3,2,100
Bolivia,22,53,11,8,7,100
Brazil,47,35,14,3,0,100
Chile,54,13,26,6,2,100
El Salvador,22,56,14,7,0,100
Mexico,26,44,21,7,3,100
Venezuela,61,21,13,4,2,100
Ghana,6,86,4,3,1,100
Kenya,4,79,13,3,1,100
Nigeria,3,77,13,6,2,100
Senegal,6,63,26,4,1,100
South Africa,21,48,17,11,2,100
Uganda,9,77,9,5,1,100
India,10,67,11,4,8,100
