Country,Morally acceptable,Morally unacceptable,Not a moral issue,Depends on the situation (Volunteered),DK/Refused,Total
United States,23,37,35,1,4,100
Canada,30,15,50,1,4,100
Britain,36,17,43,2,3,100
France,36,14,50,0,0,100
Germany,51,8,38,0,3,100
Italy,42,19,31,2,5,100
Spain,55,6,38,0,1,100
Greece,24,45,24,6,2,100
Poland,22,44,26,3,6,100
Czech Republic,56,14,27,1,3,100
Russia,9,72,9,4,6,100
Turkey,4,78,12,3,3,100
Egypt,1,95,1,3,0,100
Jordan,2,95,3,0,0,100
Lebanon,7,80,11,1,2,100
Palest. ter.,1,94,4,0,1,100
Tunisia,0,92,4,2,2,100
Israel,27,43,25,1,4,100
Australia,33,18,45,1,2,100
China,13,61,17,3,6,100
Indonesia,3,93,2,1,1,100
Japan,38,31,25,2,5,100
Malaysia,4,88,6,2,1,100
Pakistan,1,85,3,0,11,100
Philippines,25,65,9,1,0,100
South Korea,18,57,21,3,1,100
Argentina,49,27,20,3,2,100
Bolivia,32,51,9,2,5,100
Brazil,44,39,14,2,1,100
Chile,45,32,13,6,5,100
El Salvador,18,70,9,3,0,100
Mexico,36,40,15,4,5,100
Venezuela,32,49,12,4,3,100
Ghana,1,98,1,1,0,100
Kenya,3,88,9,0,0,100
Nigeria,1,85,11,1,1,100
Senegal,3,68,26,0,2,100
South Africa,18,62,12,5,3,100
Uganda,1,93,5,1,0,100
India,9,67,11,3,11,100
