Country,Morally acceptable,Morally unacceptable,Not a moral issue,Depends on the situation (Volunteered),DK/Refused,Total
United States,33,22,36,6,2,100
Canada,37,9,47,5,2,100
Britain,41,9,42,6,2,100
France,43,5,52,0,0,100
Germany,58,7,32,2,1,100
Italy,48,18,23,9,2,100
Spain,57,4,37,2,0,100
Greece,42,19,28,12,0,100
Poland,35,22,24,16,2,100
Czech Republic,60,11,21,5,2,100
Russia,46,22,13,16,3,100
Turkey,32,27,24,16,1,100
Egypt,51,7,30,11,1,100
Jordan,54,6,29,10,2,100
Lebanon,48,9,28,13,2,100
Palest. ter.,27,23,27,22,1,100
Tunisia,16,46,22,15,1,100
Israel,33,23,34,11,0,100
Australia,43,9,43,3,1,100
China,45,25,18,9,3,100
Indonesia,20,57,10,13,0,100
Japan,55,13,27,3,2,100
Malaysia,16,45,22,15,1,100
Pakistan,10,73,5,12,1,100
Philippines,25,67,7,1,0,100
South Korea,32,25,29,13,1,100
Argentina,60,17,20,2,1,100
Bolivia,29,49,10,9,2,100
Brazil,62,24,10,4,0,100
Chile,64,17,16,1,1,100
El Salvador,30,48,9,11,1,100
Mexico,41,33,16,7,3,100
Venezuela,58,24,8,9,1,100
Ghana,10,80,2,8,1,100
Kenya,17,59,13,10,1,100
Nigeria,12,61,12,13,1,100
Senegal,35,32,16,17,1,100
South Africa,16,40,15,27,2,100
Uganda,9,76,6,10,0,100
India,18,53,10,16,3,100
