Country,Morally acceptable,Morally unacceptable,Not a moral issue,Depends on the situation (Volunteered),DK/Refused,Total
United States,52,7,36,1,4,100
Canada,49,4,43,1,3,100
Britain,62,3,32,2,1,100
France,56,4,40,0,0,100
Germany,70,1,28,0,1,100
Italy,59,6,30,3,3,100
Spain,64,2,32,1,1,100
Greece,45,14,33,7,1,100
Poland,47,17,24,9,3,100
Czech Republic,74,2,21,1,1,100
Russia,62,7,19,5,7,100
Turkey,42,21,21,14,2,100
Egypt,35,7,36,21,1,100
Jordan,38,6,36,19,2,100
Lebanon,34,13,31,20,3,100
Palest. ter.,40,14,24,18,3,100
Tunisia,27,39,17,15,2,100
Israel,44,17,29,8,2,100
Australia,55,4,39,1,1,100
China,49,13,28,5,6,100
Indonesia,65,10,15,10,1,100
Japan,73,5,18,1,3,100
Malaysia,21,40,23,14,2,100
Pakistan,12,65,7,8,8,100
Philippines,60,29,9,1,1,100
South Korea,49,14,26,9,2,100
Argentina,69,6,21,2,2,100
Bolivia,58,19,13,5,5,100
Brazil,79,8,11,1,1,100
Chile,75,6,17,1,1,100
El Salvador,63,23,11,2,1,100
Mexico,63,14,18,2,4,100
Venezuela,82,5,8,3,1,100
Ghana,35,52,7,6,1,100
Kenya,47,33,11,7,2,100
Nigeria,17,54,13,12,4,100
Senegal,51,28,11,6,3,100
South Africa,68,15,9,6,2,100
Uganda,51,38,6,5,1,100
India,59,22,7,7,4,100
