Country,Morally acceptable,Morally unacceptable,Not a moral issue,Depends on the situation (Volunteered),DK/Refused,Total
United States,17,49,23,9,2,100
Canada,26,26,37,7,4,100
Britain,27,25,28,16,4,100
France,38,14,47,0,0,100
Germany,43,19,25,11,2,100
Italy,25,41,11,20,3,100
Spain,35,26,28,8,2,100
Greece,16,54,11,18,1,100
Poland,13,47,13,24,3,100
Czech Republic,49,18,18,12,3,100
Russia,25,44,10,18,3,100
Turkey,18,52,14,15,1,100
Egypt,5,62,22,9,2,100
Jordan,4,53,36,5,3,100
Lebanon,8,56,18,15,2,100
Palest. ter.,7,54,13,24,1,100
Tunisia,4,77,6,11,1,100
Israel,25,35,23,15,1,100
Australia,29,26,32,10,3,100
China,29,37,20,9,4,100
Indonesia,1,89,1,8,0,100
Japan,44,28,19,6,2,100
Malaysia,4,79,8,9,1,100
Pakistan,1,85,4,4,6,100
Philippines,2,93,4,0,0,100
South Korea,19,58,12,10,1,100
Argentina,16,56,11,17,1,100
Bolivia,6,83,4,7,1,100
Brazil,7,79,9,4,0,100
Chile,15,64,9,8,3,100
El Salvador,2,85,3,10,0,100
Mexico,16,63,12,8,2,100
Venezuela,8,77,6,8,1,100
Ghana,2,92,2,3,1,100
Kenya,3,82,8,6,0,100
Nigeria,2,80,10,7,1,100
Senegal,14,52,22,10,2,100
South Africa,10,61,8,19,2,100
Uganda,2,88,6,4,0,100
India,17,58,10,12,4,100
