Country,Morally acceptable,Morally unacceptable,Not a moral issue,Depends on the situation (Volunteered),DK/Refused,Total
United States,25,24,47,2,2,100
Canada,19,23,55,2,2,100
Britain,22,26,45,5,2,100
France,31,13,56,0,0,100
Germany,25,31,41,2,1,100
Italy,12,33,48,4,2,100
Spain,17,28,51,1,3,100
Greece,7,52,37,4,1,100
Poland,22,33,38,4,4,100
Czech Republic,11,65,19,2,2,100
Russia,10,62,18,5,4,100
Turkey,5,80,12,1,1,100
Egypt,3,91,5,0,1,100
Jordan,2,91,6,0,1,100
Lebanon,4,77,17,0,2,100
Palest. ter.,1,91,7,0,1,100
Tunisia,2,91,4,2,1,100
Israel,16,51,30,2,1,100
Australia,18,36,39,5,2,100
China,8,55,28,5,4,100
Indonesia,2,88,8,2,0,100
Japan,38,31,28,2,2,100
Malaysia,8,76,13,3,1,100
Pakistan,0,95,3,0,1,100
Philippines,20,61,18,0,0,100
South Korea,7,78,12,2,1,100
Argentina,20,49,25,3,3,100
Bolivia,11,61,17,4,7,100
Brazil,15,64,19,1,1,100
Chile,15,48,27,6,3,100
El Salvador,6,82,10,1,1,100
Mexico,13,49,30,4,4,100
Venezuela,20,59,15,3,2,100
Ghana,3,91,3,3,0,100
Kenya,5,65,21,5,4,100
Nigeria,1,77,16,2,3,100
Senegal,7,63,21,8,1,100
South Africa,18,40,27,10,5,100
Uganda,3,80,11,3,3,100
India,7,69,16,3,4,100
